model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,20,2.1300501823425293,2047,2.0719172954559326,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,21,2.394569158554077,2047,2.323068857192993,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,22,2.220215082168579,2047,2.1629385948181152,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,23,2.290135383605957,2047,2.265460968017578,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,24,2.299543619155884,2047,2.2442445755004883,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,25,2.4003727436065674,2047,2.371628761291504,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,26,2.4606430530548096,2047,2.4108924865722656,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,27,2.683213233947754,2047,2.617600679397583,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,28,2.4352834224700928,2047,2.3811190128326416,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,29,2.1225903034210205,2047,2.0793070793151855,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,30,1.9938737154006958,2047,1.9675776958465576,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,31,2.001664638519287,2047,1.9116626977920532,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,32,1.7199891805648804,2047,1.6653529405593872,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,33,2.2605862617492676,2047,2.2035648822784424,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,34,2.0361204147338867,2047,1.9940129518508911,0.0
