model,layer,b,method,mean_group_range,relative_quantization_error_nmse,mse,sample_vectors,valid,invalid_reason
llama32_3b,1,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,2,32,bf16,8.385395050048828,0.0,0.0,65536,True,
llama32_3b,2,32,identity,8.385395050048828,0.009241225864059878,0.030551688745617867,65536,True,
llama32_3b,2,32,hadamard,7.347033500671387,0.005925951605734616,0.0195913203060627,65536,True,
llama32_3b,2,32,nar,5.762214660644531,0.003717822622763506,0.012291200459003448,65536,True,
llama32_3b,2,32,nar_rope,6.450970649719238,0.004678398788825524,0.015466885641217232,65536,True,
llama32_3b,2,64,bf16,11.482460021972656,0.0,0.0,65536,True,
llama32_3b,2,64,identity,11.482460021972656,0.015920492727847298,0.052633486688137054,65536,True,
llama32_3b,2,64,hadamard,8.169116973876953,0.007531770282055467,0.02490019053220749,65536,True,
llama32_3b,2,64,nar,7.08991003036499,0.00580832231063061,0.01920243538916111,65536,True,
llama32_3b,2,64,nar_rope,7.624563217163086,0.006616883300335241,0.02187555655837059,65536,True,
llama32_3b,2,128,bf16,14.63798999786377,0.0,0.0,65536,True,
llama32_3b,2,128,identity,14.63798999786377,0.024674420280939805,0.08157415688037872,65536,True,
llama32_3b,2,128,hadamard,9.105335235595703,0.009399016136637055,0.031073346734046936,65536,True,
llama32_3b,2,128,nar,8.335591316223145,0.007951428998667144,0.026287592947483063,65536,True,
llama32_3b,2,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,3,32,bf16,9.017364501953125,0.0,0.0,65536,True,
llama32_3b,3,32,identity,9.017364501953125,0.01027906902602763,0.036129534244537354,65536,True,
llama32_3b,3,32,hadamard,7.374949932098389,0.005607815733655487,0.019710712134838104,65536,True,
llama32_3b,3,32,nar,5.671936988830566,0.0034184706965502453,0.012015461921691895,65536,True,
llama32_3b,3,32,nar_rope,6.324855804443359,0.004211550638599795,0.014803029596805573,65536,True,
llama32_3b,3,64,bf16,12.247233390808105,0.0,0.0,65536,True,
llama32_3b,3,64,identity,12.247233390808105,0.0182191760031094,0.06403793394565582,65536,True,
llama32_3b,3,64,hadamard,8.238485336303711,0.007190167622514391,0.025272466242313385,65536,True,
llama32_3b,3,64,nar,6.970501899719238,0.00531754117389339,0.0186904389411211,65536,True,
llama32_3b,3,64,nar_rope,7.4737396240234375,0.006021549939321322,0.02116493321955204,65536,True,
llama32_3b,3,128,bf16,17.226024627685547,0.0,0.0,65536,True,
llama32_3b,3,128,identity,17.226024627685547,0.03264971178389422,0.11475931107997894,65536,True,
llama32_3b,3,128,hadamard,9.237858772277832,0.009106079840406012,0.03200663626194,65536,True,
llama32_3b,3,128,nar,8.214801788330078,0.007313399492396495,0.025705611333251,65536,True,
llama32_3b,3,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,4,32,bf16,8.967658042907715,0.0,0.0,65536,True,
llama32_3b,4,32,identity,8.967658042907715,0.009693367704150897,0.03388044983148575,65536,True,
