model,site,layer,method,fp4_nmse,transformed_pearson_kurtosis,mean_relative_e4m3_scale_rounding_error,squared_error,signal_energy,sample_vectors
llama32_3b,down_input,12,identity,0.008005745364979916,246.55039978027344,0.03508974611759186,415.9312069985465,51954.08897439869,2048
llama32_3b,down_input,12,hadamard,0.00960908070592508,18.16221809387207,0.041141144931316376,499.23103395780936,51954.08897439869,2048
llama32_3b,down_input,12,nar,0.009547902656874543,4.383652687072754,0.031800318509340286,496.05258415415767,51954.08897439869,2048
llama32_3b,down_input,12,logdiag,0.03201380809157927,169.8912811279297,0.02824007160961628,1663.2482339992341,51954.08897439869,2048
llama32_3b,down_input,13,bf16,0.0,2338.566162109375,0.0,0.0,67604.23148695803,2048
llama32_3b,down_input,13,identity,0.007094626424539194,2338.566162109375,0.03346671164035797,479.6267671180371,67604.23148695803,2048
llama32_3b,down_input,13,hadamard,0.008692689584700855,148.46607971191406,0.03863675892353058,587.6625989283857,67604.23148695803,2048
llama32_3b,down_input,13,nar,0.009361470485844748,6.030418872833252,0.028260011225938797,632.8750177833739,67604.23148695803,2048
llama32_3b,down_input,13,logdiag,0.028614359721056287,16507.666015625,0.027195189148187637,1934.451798433377,67604.23148695803,2048
llama32_3b,down_input,14,bf16,0.0,193.62376403808594,0.0,0.0,76611.2902950731,2048
llama32_3b,down_input,14,identity,0.008030273971844564,193.62376403808594,0.031346485018730164,615.2096504059535,76611.2902950731,2048
llama32_3b,down_input,14,hadamard,0.01010117495016191,15.15852165222168,0.03576134145259857,773.8640464281746,76611.2902950731,2048
llama32_3b,down_input,14,nar,0.009545405152333892,4.463214874267578,0.030153006315231323,731.2858051095382,76611.2902950731,2048
llama32_3b,down_input,14,logdiag,0.03197764234493431,597.2662353515625,0.02638484537601471,2449.8484406397843,76611.2902950731,2048
llama32_3b,down_input,15,bf16,0.0,263.03265380859375,0.0,0.0,86188.02886201123,2048
llama32_3b,down_input,15,identity,0.007954087710647513,263.03265380859375,0.03138824924826622,685.5471411762567,86188.02886201123,2048
llama32_3b,down_input,15,hadamard,0.010101082559566626,19.481698989868164,0.0353555753827095,870.5923951814866,86188.02886201123,2048
llama32_3b,down_input,15,nar,0.009665691950411254,5.0529890060424805,0.03035912662744522,833.0669367933547,86188.02886201123,2048
llama32_3b,down_input,15,logdiag,0.031088650886348636,747.178466796875,0.026774093508720398,2679.469539873607,86188.02886201123,2048
llama32_3b,down_input,16,bf16,0.0,347.3973388671875,0.0,0.0,83886.21117956616,2048
llama32_3b,down_input,16,identity,0.007892235277214409,347.3973388671875,0.03262503445148468,662.0497151432297,83886.21117956616,2048
llama32_3b,down_input,16,hadamard,0.01009743440032496,24.828004837036133,0.03658781573176384,847.0355144774755,83886.21117956616,2048
llama32_3b,down_input,16,nar,0.009695512778935792,5.544500350952148,0.030342457816004753,813.3198324679902,83886.21117956616,2048
llama32_3b,down_input,16,logdiag,0.030419890780481504,666.65576171875,0.027283310890197754,2551.809382070809,83886.21117956616,2048
llama32_3b,down_input,17,bf16,0.0,345.2812194824219,0.0,0.0,87796.97784597265,2048
